Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
The Prank Movie Human Parts Saga,2021,,Comedy,Mc Makopolo uses beautiful ladies to lure men into believing they found a ready made relationship that beats their imagination and then went on to call for a movie audition that was well staged by his partner Chigan Madu that ended as a prank.,McMakopolo,"Akindoju April, Tersoo Doris, Chigan Madu",McMakopolo
Code Wilo,2019,,Thriller,"Code Wilo depicts the kidnapping of a female gubernatorial candidate, whose abduction has caused a flurry of unease among the political elites and the law enforcement in the state.","Lydia Emmanuel, Titi Emmanuel","Gabriel Afolayan, Eucharia Anunobi Ekwu, Bikiya Graham Douglas",Mike-Steve Adeleye
Ready or Not,2019,18,"Action, Comedy, Horror",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Guy Busick, R. Christopher Murphy","Samara Weaving, Adam Brody, Mark O'Brien",Matt Bettinelli-Olpin
Ready or Not,1993–1997,,"Drama, Family",Two teenage friends come of age while going through life's struggles together.,,"Laura Bertram, Lani Billard, Gerry Mendicino",
Ready or Not,2018,,"Short, Horror","A babysitter plays hide and seek with the kid she's watching but, when she opens her eyes, she can't find him.",Mike Barkhoff,Ashtun O'Rourke,Mike Barkhoff
Ready or Not,2009,R,Comedy,"Four college buddies find themselves on the adventure of their lives, when on the morning after a Las Vegas bachelor party, they end up stranded deep in Mexico penniless, being chased, falling in love, and fighting to make it back across the border in time for the wedding.","Sean Doyle, Travis Kurtz, Christian Oliver","Christian Oliver, Seamus Dever, Evan Helmuth",Sean Doyle
Ready or Not,,,Documentary,17-year old activist Marcel McClinton in his race against a powerful incumbent for a seat on the Houston City Council.,,"Paloma Martinez, David Modigliani",
Ready or Not,2012,Not Rated,"Horror, Thriller","A classic horror tale of six strangers locked in a secluded mansion, competing in a new reality TV show. The game is Hide-and-Seek. The rules change as the cameraman kills them off one by one. Ready or not, you can't hide forever.","Alek Lev, Joel Viertel, Siobhan Walshe","Christy Meyers, Trevor Murphy, Alek Lev",Alek Lev
Ready or Not,2021,,"Action, Crime, Thriller","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",,Luke Webley,
Run,2020,PG-13,"Mystery, Thriller",A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,"Aneesh Chaganty, Sev Ohanian","Sarah Paulson, Kiera Allen, Sara Sohn",Aneesh Chaganty
The Return of Jamal,,,Drama,An ex-con returns from prison to a community that no longer serves him.,,"Adjetey Anang, Fritz Baffour, Akwasi Boadi",
Chhichhore,2019,12A,"Comedy, Drama, Romance","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.","Piyush Gupta, Nikhil Mehrotra, Nitesh Tiwari","Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma",Nitesh Tiwari
Good Boys,2019,15,"Adventure, Comedy","Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.","Lee Eisenberg, Gene Stupnitsky","Jacob Tremblay, Keith L. Williams, Brady Noon",Gene Stupnitsky
Yeladim Tovim,2005,Not Rated,"Crime, Drama, Romance","Two rent boys, hired by a trick to perform together, develop a relationship.",Yair Hochner,"Daniel Efrat, Dana Balalti, Michael Hamel",Yair Hochner
Good Boys,,,Drama,,"Gino Alfonso, Keelan Ellis",Daustin Harvey,Gino Alfonso
Kasanova,2019,15,Romance,"A romantic comedy about a single dad who falls in love with the Mother of his sons Crush. It is a battle for love highlighting Family, friendship and love.","Tomi Adesina, Oluseyi Asurf, Ugochukwu Isreal","Toyin Abraham, Odunlade Adekola, Taiwo Adeyemi",Oluseyi Asurf
My London Slave,2019,15,Drama,,,"Ify Chukwu, Grace Echeta, Cordelia Emeh",
The Marksman,2021,PG-13,"Action, Adventure, Drama",A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,"Chris Charles, Danny Kravitz, Robert Lorenz","Katheryn Winnick, Liam Neeson, Teresa Ruiz",Robert Lorenz
Social Media 101,,,Comedy,Three women run into work and relationship trouble when they get involved with social media.,"Stanley Isokoh, Adekunle Salawu","Tana Adelana, Charles Inojie, Adeniyi Johnson",Paul Iheanyichukwu Igwe
Dora and the Lost City of Gold,2019,PG,"Action, Adventure, Comedy","Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.","Nicholas Stoller, Matthew Robinson, Tom Wheeler","Isabela Merced, Eugenio Derbez, Michael Peña",James Bobin
Dream Girl,2019,12A,"Comedy, Romance","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.","Nirmaan Dsingh, Niket Pandey, Raaj Shaandilyaa","Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor",Raaj Shaandilyaa
Dream Girl,,,"Romance, Thriller","Sapna, who works under a number of aliases, is a modern day female Robin Hood, who steals from whoever she can, so that she can maintain a home for orphans. One day she meets with wealthy and eligible bachelor, Anupam Verma, and poses as a wealthy princess. He takes her to meet his grandparents, and even lets her live in his palatial bunglow. But soon Sapna's past cat... Read all",,"Ashok Kumar, Dharmendra, Hema Malini",
Hustlers,2019,18,"Comedy, Crime, Drama","Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.","Lorene Scafaria, Jessica Pressler","Constance Wu, Jennifer Lopez, Julia Stiles",Lorene Scafaria
Hustlers,2014,,Drama,"A street smart clubowner is frustrated with the daughter whom she trained into hustling men for money, as she deems her to be lacking in the innate hustlers spirit. Mercy Johnson, Clarion Chukwura, Nse Ikpe Etim. Directed by Elvis Chuks. Drama genre. English language. (2013)",Ubong Bassey Nya,"Clarion Chukwura-Abiola, Ana Flavia Gavlak, Nse Ikpe-Etim",Elvis Chuks
Veijarit,2010,,"Comedy, Drama",Saku and Ässä: two guys spend careless life. One day Ässä meet woman named Anna and boys careless lifestyle is in danger.,"Niklas Lindgren, Katri Manninen","Mikko Leppilampi, Antti Luusuaniemi, Pihla Viitala",Lauri Nurkse
The Good Husband,,,Drama,A marriage counselor is more interested in fixing other people's marriages than his own.,"Dickson Iroegbu, Tai Emeka Obasi, Tobe Osigwe","Bassey Ekpo Bassey, Ese Brodericks, Monalisa Chinda",Dickson Iroegbu
Rambo: Last Blood,2019,18,"Action, Thriller",Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,"Matthew Cirulnick, Sylvester Stallone, Dan Gordon","Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta",Adrian Grunberg
Ad Astra,2019,12A,"Adventure, Drama, Mystery","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga",James Gray
Ad Astra,,,Sci-Fi,,"See writer, See producer",See preliminary cast,See company contact information
Ad Astra,2009,,Musical,,,Audrey Bonnet,
Ad Astra,2018,,"Documentary, Short","A life of a teacher and her students in a tiny school lost in a vast world of snow and mountains. A tale of courage, wisdom and humanity and an ode to endurance and stoicism. Beautifully shot and narrated.",,Sabra May,
For Old Times' Sake,2019,,Drama,"Andrew, a dance teacher is struggling to keep his dance studio afloat. Along comes Catherine, who enrolls for some of his classes but brings along a lot of baggage.",Alexandra Kureave Hul,"Eucharia Anunobi Ekwu, Femi Branch, Uru Eke",Moses Inwang
For Old Times' Sake,2016,,Comedy,,,"Zeth Hillman-Johnson, Levi Markham, Kai Fiser",
Made in Heaven,2019– ,,"Drama, Romance","It is the story of two wedding planners in Delhi, where tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and lies.",,"Arjun Mathur, Sobhita Dhulipala, Jim Sarbh",
Made in Heaven,1987,PG,"Comedy, Fantasy, Romance","After being dumped by his girlfriend, a boy runs away to California. But he ends up in heaven because he dies after trying to help a family from drowning in a river. In heaven he'll meet a beautiful girl, who has never reincarnated before.","Bruce A. Evans, Raynold Gideon","Timothy Hutton, Kelly McGillis, Maureen Stapleton",Alan Rudolph
Made in Heaven,1990– ,,Drama,A couple (Rix and Bentinck) set up a Wedding Agency to arrange the happy day for prospective couples.,,"Louisa Rix, Tim Bentinck, Moira Brooker",
Made in Heaven,1952,Not Rated,Comedy,"A young couple enter the Dunmow Flitch Trial, in which a side of bacon can be won if a couple do not regret their marriage after a year, but the arrival of an attractive new housemaid throws everything into chaos.","George H. Brown, William Douglas-Home","David Tomlinson, Petula Clark, Sonja Ziemann",John Paddy Carstairs
Made in Heaven,2019,,"Drama, Fantasy",,Anthony Kehinde Joseph,"Toyin Abraham, Blossom Chukwujekwu, Lasisi Elenu",Toka McBaror
Made in Heaven,2022,,Drama,"Loving yourself is the greatest love of all'. A painter risked his life to break his best friend's marriage, so he can steal the husband's heart, but that wicked man doesn't give him love but a bitter lesson.",,Huynh Luu,
Made in Heaven,,,"Comedy, Romance",Fireman William Lowry tries to help an heiress by agreeing to a marriage of convenience.,"William Hurlbut, Arthur F. Statter","Tom Moore, Helene Chadwick, Molly Malone",Victor Schertzinger
Overcomer,2019,PG,"Drama, Family, Sport",A high-school basketball coach is asked to take over the cross-country program where he encounters a troubled teen.,"Alex Kendrick, Stephen Kendrick","Alex Kendrick, Priscilla C. Shirer, Cameron Arnett",Alex Kendrick
Abominable,2019,PG,"Animation, Adventure, Comedy",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,Jill Culton,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor",Jill Culton
Abominable,2006,R,"Horror, Sci-Fi, Thriller","A man, crippled in a climbing accident, returns to his cabin in the woods as part of his rehabilitation, but he wasn't prepared for the immanent onslaught.","Ryan Schifrin, James Morrison","Matt McCoy, Haley Joel, Christien Tinsley",Ryan Schifrin
Abominable,2020,,Horror,A scientific expedition team searching the Himalayan mountains for a rare plant which could change the face of modern medicine find themselves hunted by a territorial yeti.,J.D. Ellis,"Katrina Mattson, Amy Gordon, Robert Berlin",Jamaal Burden
Nicky Larson et le parfum de Cupidon,2018,15,"Action, Comedy, Crime","Nicky Larson, the best private investigator in the business, is called for a high-risk mission: to recover the perfume of Cupid, a perfume that would make irresistible the one who uses it.","Julien Arruti, Pierre Dudan, Tsukasa Hôjô","Philippe Lacheau, Élodie Fontan, Tarek Boudali",Philippe Lacheau
Siti hyunteo,2011,,"Action, Romance, Thriller",Lee Yun-seong was trained by his father's best friend in order to get revenge on the government for killing everyone in his father's unit.,,"Lee Min-Ho, Park Min-Young, Sang-Jung Kim",
Sing si lip yan,1993,PG-13,"Action, Comedy, Crime","A self-indulgent private investigator winds up on a cruise ship full of rich patrons, gorgeous women, murderous terrorists, and scarce food.","Tsukasa Hôjô, Jing Wong","Jackie Chan, Richard Norton, Joey Wang",Jing Wong
City Hunter,1987–1991,,"Animation, Action, Comedy","The adventures of Ryo Saeba, a gun-for-hire living in the Tokyo metropolis, who will take on any dangerous job as long as it involves beautiful women.",,"Akira Kamiya, Kazue Ikura, Yôko Asagami",
Joker,2019,18,"Crime, Drama, Thriller",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"Todd Phillips, Scott Silver, Bob Kane","Joaquin Phoenix, Robert De Niro, Zazie Beetz",Todd Phillips
Joker,2021– ,,"Comedy, Reality-TV","Some famous Iranian celebrities should make each other laugh in any way, but the main challenge is that they should not laugh. Siamak Ansari is the referee of the program and captures the smallest smile with the cameras.",,"Amir Hossein Tehrani, Iman Safa, Abbas Jamshidifar",
Love Is War,2019,15,Drama,Sparks fly as a husband and wife both win the nominations as the candidates of the two major parties in an upcoming gubernatorial election. Will their marriage survive this unprecedented event?,Chinaza Onuzo,"Fisayo Adefolaju, Shaffy Bello, William Benson",Omoni Oboli
Love Is War,1970,,Drama,"In a botanical garden Gro meets her Espen, a relationship that still has to reach it's natural depth.",Ragnar Lasse Henriksen,"Yvonne Ingdal, Ole-Jørgen Nilsen, Per Oscarsson",Ragnar Lasse Henriksen
